Stream,NewLong,NewLat,Western_Pearlshell,Western_Ridged
Beaver Creek,-115.1682067,44.4069568,NA,NA
Beaver Creek,-114.9845943,44.49034631,NA,NA
Beaver Creek,-115.129581,44.41884296,NA,NA
Cape Horn Creek,-115.2061944,44.35711606,NA,NA
Cape Horn Creek,-115.2036608,44.35945934,NA,NA
Cape Horn Creek,-115.1889188,44.3772694,NA,NA
Dahlonega Creek,-113.927632,45.548642,NA,NA
Dahlonega Creek,-113.8922816,45.55698633,NA,NA
Dahlonega Creek,-113.8561874,45.56255433,NA,NA
East Fork Potlatch River,-116.3241738,46.85722521,NA,NA
East Fork Potlatch River,-116.2147661,46.89906945,NA,NA
Hull Creek,-114.073809,45.483832,NA,NA
Hull Creek,-113.9964,45.46977,NA,NA
Hull Creek,-114.058813,45.484672,NA,NA
Knapp Creek,-115.04008,44.41763,NA,NA
Knapp Creek,-115.1079891,44.3770436,NA,NA
Knapp Creek,-114.9942676,44.41554217,NA,NA
Knapp Creek,-115.0165984,44.41402702,NA,NA
Knapp Creek,-115.0625033,44.40915418,NA,NA
Knapp Creek,-115.0625033,44.40915418,NA,NA
Marsh Creek,-115.2106799,44.4404004,NA,NA
Marsh Creek,-115.169102,44.40001005,NA,NA
Salmon River,-114.9027473,44.17049387,NA,NA
Salmon River,-114.8910193,44.16591656,NA,NA
Salmon River,-114.83472,44.03559,NA,NA
Swamp Creek,-115.1417041,44.35584851,NA,NA
Swamp Creek,-115.1515032,44.34509378,NA,NA
Swamp Creek,-115.1515032,44.34509378,NA,NA
Valley Creek,-115.0569604,44.33860449,NA,NA
Winnemucca Creek,-114.9764502,44.47465812,NA,NA
Loon Creek,-114.760724,44.69593421,ShellsOnly,NA
South Fork Salmon River,-115.6947947,44.85270757,ShellsOnly,NA
