Stream,Strata,Section,SectionID,SurveyDate,NewLong,NewLat,Small,Medium,Large,Corbicula_spp,California_Floater,Other_Mussel,Unknown_Mussel,Western_Pearlshell,Western_Ridged
East Fork Potlatch River,-99,45937,14103,6/4/2018,-116.2853884,46.86095109,0,0,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,PFI 1,1852,6/2/2017,-116.283502,46.86415021,1,1,1,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,PFI 6,1844,6/7/2016,-116.2722453,46.87576252,1,1,1,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,PFI 6,1844,6/1/2018,-116.2722453,46.87576252,0,1,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,PFI 8,1843,6/1/2018,-116.2579903,46.87566781,0,0,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,PFI 9,1851,6/7/2016,-116.2748095,46.87338836,0,0,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,PFI 9,1851,6/1/2018,-116.2748095,46.87338836,0,1,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,Trout Fry Meadow 2,16500,6/3/2017,-116.36124,46.85034,0,1,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,Trout Fry Meadow 2,16500,6/4/2018,-116.36124,46.85034,0,0,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,Trout Fry Meadow 4,17885,6/4/2018,-116.3587,46.84968,0,1,0,NA,NA,NA,NA,10-100    ,NA
Elk Creek,-99,1B,1870,7/12/2015,-115.4590811,44.414398,0,1,0,NA,NA,NA,NA,10-100    ,NA
Elk Creek,-99,2A,1872,7/28/2017,-115.4504533,44.45428037,0,1,1,NA,NA,NA,NA,10-100    ,NA
Fish Creek,-99,1,1089,7/13/2017,-115.35269,46.33815,0,1,0,NA,NA,NA,NA,10-100    ,NA
Fish Creek,-99,1,1089,7/12/2018,-115.35269,46.33815,0,1,0,NA,NA,NA,NA,10-100    ,NA
Fish Creek,-99,102338,13342,7/17/2017,-115.4498847,46.33770101,0,0,0,NA,NA,NA,NA,10-100    ,NA
Fish Creek,-99,12994,13333,7/13/2017,-115.347164,46.333355,0,1,0,NA,NA,NA,NA,10-100    ,NA
Fish Creek,-99,12994,13333,7/12/2018,-115.347164,46.333355,0,1,0,NA,NA,NA,NA,10-100    ,NA
Fish Creek,-99,167874,13345,7/17/2017,-115.4498847,46.33770101,0,1,0,NA,NA,NA,NA,10-100    ,NA
Fish Creek,-99,41666,13335,7/13/2017,-115.35683,46.342833,0,1,0,NA,NA,NA,NA,10-100    ,NA
Fish Creek,-99,74434,13339,7/13/2017,-115.42613,46.344893,0,1,0,NA,NA,NA,NA,10-100    ,NA
Fish Creek,-99,74434,13339,7/17/2018,-115.42613,46.344893,0,1,0,NA,NA,NA,NA,10-100    ,NA
Johnson Creek,UPPER I,PW1A,735,7/15/2016,-115.5431879,44.68534966,0,1,0,NA,NA,NA,NA,10-100    ,NA
Loon Creek,LNM1,3,1081,8/13/2016,-114.7794141,44.70921827,0,1,0,NA,NA,NA,NA,10-100    ,NA
Loon Creek,LNM1,3,1081,8/15/2017,-114.7794141,44.70921827,0,1,0,NA,NA,NA,NA,10-100    ,NA
Loon Creek,LNM1,3,1081,8/10/2018,-114.7794141,44.70921827,0,1,0,NA,NA,NA,NA,10-100    ,NA
Marsh Creek,Above Beaver Cr,89431,13928,7/16/2018,-115.1644591,44.39252471,0,1,0,NA,NA,NA,NA,10-100    ,NA
Pahsimeroi River,1,PONDS,977,8/3/2017,-113.9887903,44.62354172,0,1,0,NA,NA,NA,NA,10-100    ,NA
Pahsimeroi River,WEIR,WEIR,1130,7/30/2018,-114.0399117,44.68355256,0,0,0,NA,NA,NA,NA,10-100    ,NA
Potlatch River,-99,111586,14094,6/15/2018,-116.4497407,46.78622524,0,1,0,NA,NA,NA,NA,10-100    ,NA
Potlatch River,-99,18402,14090,6/21/2017,-116.4024446,46.83376033,1,1,0,NA,NA,NA,NA,10-100    ,NA
Potlatch River,-99,18402,14090,6/2/2018,-116.4024446,46.83376033,0,1,0,NA,NA,NA,NA,10-100    ,NA
Potlatch River,-99,29666,14093,6/5/2017,-116.4416372,46.79000923,1,1,0,NA,NA,NA,NA,10-100    ,NA
Potlatch River,-99,49170,14086,6/2/2018,-116.3996704,46.85162921,0,1,0,NA,NA,NA,NA,10-100    ,NA
Potlatch River,-99,75746,14092,6/16/2018,-116.4281587,46.79851643,0,1,0,NA,NA,NA,NA,10-100    ,NA
Potlatch River,-99,8210,14085,6/6/2016,-116.4008832,46.86181457,0,1,0,NA,NA,NA,NA,10-100    ,NA
Potlatch River,-99,8210,14085,6/3/2017,-116.4008832,46.86181457,0,1,0,NA,NA,NA,NA,10-100    ,NA
Red River,4,CNTL 2,1105,6/30/2017,-115.38694,45.72926,0,1,0,NA,NA,NA,NA,10-100    ,NA
Red River,5,CNTL 2,1102,6/17/2016,-115.38756,45.77768,1,1,0,NA,NA,NA,NA,10-100    ,NA
Red River,5,TREAT 2,1103,6/29/2017,-115.38702,45.77884,0,1,0,NA,NA,NA,NA,10-100    ,NA
Redfish Lake Creek,-99,LOWER,1082,7/11/2018,-114.9006736,44.16668371,1,1,0,NA,NA,NA,NA,10-100    ,NA
Redfish Lake Creek,-99,LOWER,1082,7/11/2018,-114.9006736,44.16668371,0,0,0,NA,NA,NA,NA,10-100    ,NA
Redfish Lake Creek,-99,WEIR DS,1083,7/17/2016,-114.914051,44.150416,0,1,0,NA,NA,NA,NA,10-100    ,NA
Redfish Lake Creek,-99,WEIR DS,1083,7/24/2017,-114.914051,44.150416,0,0,0,NA,NA,NA,NA,10-100    ,NA
Redfish Lake Creek,-99,WEIR DS,1083,7/10/2018,-114.914051,44.150416,0,1,0,NA,NA,NA,NA,10-100    ,NA
Ruby Creek,-99,2018,14608,6/8/2015,-116.3769531,46.80675439,1,1,0,NA,NA,NA,NA,10-100    ,NA
Ruby Creek,-99,2018,14608,6/6/2016,-116.3769531,46.80675439,1,1,0,NA,NA,NA,NA,10-100    ,NA
Ruby Creek,-99,2018,14608,6/5/2018,-116.3769531,46.80675439,1,1,0,NA,NA,NA,NA,10-100    ,NA
Ruby Creek,-99,67554,14606,6/8/2015,-116.3711843,46.80926402,1,1,0,NA,NA,NA,NA,10-100    ,NA
Sheep Creek,-99,44767,18458,6/5/2017,-113.831627,45.486336,1,0,0,NA,NA,NA,NA,10-100    ,NA
South Fork Salmon River,-99,12831,18480,7/24/2015,-115.686656,44.754863,0,1,1,NA,NA,NA,NA,10-100    ,NA
South Fork Salmon River,-99,12831,18480,7/15/2018,-115.686656,44.754863,0,1,0,NA,NA,NA,NA,10-100    ,NA
South Fork Salmon River,-99,16,589,7/28/2015,-115.7191628,45.00260624,0,1,1,NA,NA,NA,NA,10-100    ,NA
South Fork Salmon River,-99,29215,18478,7/24/2015,-115.6966,44.794798,0,1,0,NA,NA,NA,NA,10-100    ,NA
South Fork Salmon River,-99,44535,18474,6/18/2015,-115.705701,44.684733,1,1,1,NA,NA,NA,NA,10-100    ,NA
South Fork Salmon River,-99,5,732,7/14/2018,-115.6958265,44.63270506,0,1,0,NA,NA,NA,NA,10-100    ,NA
South Fork Salmon River,-99,60447,18475,7/29/2017,-115.73746,44.92408,0,1,1,NA,NA,NA,NA,10-100    ,NA
South Fork Salmon River,-99,7,733,7/30/2017,-115.7013845,44.70467788,0,1,0,NA,NA,NA,NA,10-100    ,NA
